#FOR THE FULL HISTORICAL DATA VISIT : https://ork.ad
time,open,high,low,close,volume
2024-07-03,29.51,30.66,29.465,30.491,164076
2024-07-04,30.491,30.576,30.192,30.371,81897
2024-07-05,30.371,31.482,29.994,31.217,225559
2024-07-08,31.217,31.358,30.419,30.747,179579
2024-07-09,30.747,31.137,30.498,30.784,186123
2024-07-10,30.784,31.152,30.638,30.798,151182
2024-07-11,30.798,31.741,30.791,31.441,205261
2024-07-12,31.441,31.441,30.367,30.782,203300
2024-07-15,30.782,31.08,30.512,30.661,189487
2024-07-16,30.661,31.39,30.475,31.236,180470
2024-07-17,31.236,31.422,30.03,30.286,248499
2024-07-18,30.286,30.584,29.731,29.805,183873
2024-07-19,29.805,29.831,28.857,29.202,208754
2024-07-22,29.202,29.421,28.734,29.112,176442
2024-07-23,29.112,29.29,28.647,29.214,171964
2024-07-24,29.214,29.44,28.878,28.888,178137
2024-07-25,28.888,28.9,27.399,27.838,319393
2024-07-26,27.838,28.061,27.575,27.912,188371
2024-07-29,27.912,28.182,27.29,27.851,182483
2024-07-30,27.851,28.405,27.604,28.36,188574
2024-07-31,28.36,29.024,28.226,28.99,233268
2024-08-01,28.99,29.146,28.205,28.507,254234
2024-08-02,28.507,29.211,27.929,28.551,326497
2024-08-05,28.551,28.66,26.485,27.24,434931
2024-08-06,27.24,27.556,26.585,26.961,271987
2024-08-07,26.961,27.256,26.562,26.589,228126
2024-08-08,26.589,27.59,26.367,27.528,236922
2024-08-09,27.528,27.751,27.24,27.436,194069
2024-08-12,27.436,28.031,27.204,27.956,165245
2024-08-13,27.956,28.04,27.441,27.839,158222
2024-08-14,27.839,28.004,27.166,27.546,191312
2024-08-15,27.546,28.507,27.468,28.344,218688
2024-08-16,28.344,29.025,28.03,28.97,201373
2024-08-19,28.97,29.47,28.709,29.431,189127
2024-08-20,29.431,29.959,29.189,29.422,199497
2024-08-21,29.422,29.726,29.184,29.585,191115
2024-08-22,29.585,29.671,28.772,28.971,211418
2024-08-23,28.971,29.877,28.931,29.821,213218
2024-08-26,29.821,30.18,29.64,29.889,183589
2024-08-27,29.889,30.079,29.685,29.958,163876
2024-08-28,29.958,30.091,29.067,29.119,165870
2024-08-29,29.119,29.671,28.928,29.397,179152
2024-08-30,29.397,29.577,28.677,28.845,213708
2024-09-02,28.845,28.961,28.312,28.627,107035
2024-09-03,28.627,28.627,27.69,28.032,212452
2024-09-04,28.032,28.344,27.758,28.251,181217
2024-09-05,28.251,29.167,28.196,28.801,233224
2024-09-06,28.801,29.104,27.67,27.912,279717
2024-09-09,27.912,28.352,27.689,28.337,175790
2024-09-10,28.337,28.542,28.016,28.388,169233
2024-09-11,28.388,28.861,28.055,28.668,252454
2024-09-12,28.668,29.9,28.52,29.86,214764
2024-09-13,29.86,30.912,29.839,30.706,192338
